id,filename,theme_cn,theme_en,name_cn,slug,size,format,license,suggested_use,background_type,background_url_placeholder
bg_01,backgrounds/bg_01_hope_morning_path.jpg,希望,hope,晨光山路,hope_morning_path,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「希望」主题卡片背景,image,/assets/backgrounds/bg_01_hope_morning_path.jpg
bg_02,backgrounds/bg_02_hope_misty_hills.jpg,希望,hope,远山薄雾,hope_misty_hills,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「希望」主题卡片背景,image,/assets/backgrounds/bg_02_hope_misty_hills.jpg
bg_03,backgrounds/bg_03_hope_soft_sky.jpg,希望,hope,柔光天空,hope_soft_sky,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「希望」主题卡片背景,image,/assets/backgrounds/bg_03_hope_soft_sky.jpg
bg_04,backgrounds/bg_04_hope_lake_sunrise.jpg,希望,hope,日出湖面,hope_lake_sunrise,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「希望」主题卡片背景,image,/assets/backgrounds/bg_04_hope_lake_sunrise.jpg
bg_05,backgrounds/bg_05_hope_leaf_morning.jpg,希望,hope,新叶清晨,hope_leaf_morning,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「希望」主题卡片背景,image,/assets/backgrounds/bg_05_hope_leaf_morning.jpg
bg_06,backgrounds/bg_06_peace_quiet_lake.jpg,平静,peace,静湖蓝,peace_quiet_lake,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「平静」主题卡片背景,image,/assets/backgrounds/bg_06_peace_quiet_lake.jpg
bg_07,backgrounds/bg_07_peace_window_light.jpg,平静,peace,窗边浅光,peace_window_light,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「平静」主题卡片背景,image,/assets/backgrounds/bg_07_peace_window_light.jpg
bg_08,backgrounds/bg_08_peace_after_rain.jpg,平静,peace,雨后灰蓝,peace_after_rain,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「平静」主题卡片背景,image,/assets/backgrounds/bg_08_peace_after_rain.jpg
bg_09,backgrounds/bg_09_peace_soft_cloud.jpg,平静,peace,浅色云层,peace_soft_cloud,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「平静」主题卡片背景,image,/assets/backgrounds/bg_09_peace_soft_cloud.jpg
bg_10,backgrounds/bg_10_peace_water_space.jpg,平静,peace,水面留白,peace_water_space,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「平静」主题卡片背景,image,/assets/backgrounds/bg_10_peace_water_space.jpg
bg_11,backgrounds/bg_11_gratitude_warm_desk.jpg,感恩,gratitude,暖桌晨光,gratitude_warm_desk,1080x1920,jpg,Self-generated procedural image by ChatGPT/Python in this session; no external photo material used.,适合「感恩」主题卡片背景,image,/assets/backgrounds/bg_11_gratitude_warm_desk.jpg
