card_id,date,quote_text,source,source_type,source_ref,theme,morning_action,noon_action,evening_action,background_type,background_url,color_theme,gradient_start,gradient_end,status,review_status,copyright_status,note
card_001,2026-06-03,你们愿意人怎样待你们，你们也要怎样待人。,圣经·和合本,bible,路加福音 6:31,温柔,先问候,少反驳,说谢谢,gradient,,#F6EDE8,#F6EDE8,#E6F0EA,published,reviewed,public_domain_cuv_short_excerpt,
card_002,2026-06-04,温柔的人有福了。,圣经·和合本,bible,马太福音 5:5,温柔,慢说话,轻回应,少争一句,gradient,,#F6EDE8,#F6EDE8,#E6F0EA,published,reviewed,public_domain_cuv_short_excerpt,
card_003,2026-06-05,使人和睦的人有福了。,圣经·和合本,bible,马太福音 5:9,平安,先停三秒,说缓一句,不留怒气,gradient,,#EAF3F7,#EAF3F7,#F7F0DF,published,reviewed,public_domain_cuv_short_excerpt,
card_004,2026-06-06,不要为明天忧虑。,圣经·和合本,bible,马太福音 6:34,平安,写下担心,做眼前事,早些休息,gradient,,#EAF3F7,#EAF3F7,#F7F0DF,published,reviewed,public_domain_cuv_short_excerpt,
card_005,2026-06-07,你们要靠主常常喜乐。,圣经·和合本,bible,腓立比书 4:4,希望,看见一好,少怨一句,感谢一事,gradient,,#F8EFE1,#F8EFE1,#DCE8D8,published,reviewed,public_domain_cuv_short_excerpt,
card_006,2026-06-08,应当一无挂虑。,圣经·和合本,bible,腓立比书 4:6,平安,放下一念,深呼吸,轻声祈祷,gradient,,#EAF3F7,#EAF3F7,#F7F0DF,published,reviewed,public_domain_cuv_short_excerpt,
card_007,2026-06-09,凡事谢恩。,圣经·和合本,bible,帖撒罗尼迦前书 5:18,感恩,记一恩典,谢一个人,回想一好,gradient,,#FFF3D6,#FFF3D6,#F4E1C1,published,reviewed,public_domain_cuv_short_excerpt,
card_008,2026-06-10,恒久忍耐，又有恩慈。,圣经·和合本,bible,哥林多前书 13:4,忍耐,慢回消息,忍住一句,给人余地,gradient,,#EEEAE1,#EEEAE1,#DCE7E1,published,reviewed,public_domain_cuv_short_excerpt,
card_009,2026-06-11,爱是不计算人的恶。,圣经·和合本,bible,哥林多前书 13:5,宽恕,少翻旧账,先听完,放过一事,gradient,,#EFE7F3,#EFE7F3,#E6F0EA,published,reviewed,public_domain_cuv_short_excerpt,
card_010,2026-06-12,你们要彼此相爱。,圣经·和合本,bible,约翰福音 13:34,爱,主动问候,帮一小忙,温和告别,gradient,,#F9E4DE,#F9E4DE,#F7F0E6,published,reviewed,public_domain_cuv_short_excerpt,
card_011,2026-06-13,要爱人如己。,圣经·和合本,bible,马可福音 12:31,爱,顾及别人,留一点心,少占便宜,gradient,,#F9E4DE,#F9E4DE,#F7F0E6,published,reviewed,public_domain_cuv_short_excerpt,
